3d_x,3d_y,3d_z
80.0708984375,-200.9291015625,1227.3750000000
80.2618554596,-200.7984461707,1227.1840429779
80.4528124818,-200.6677907790,1226.9930859557
80.6437695039,-200.5371353872,1226.8021289336
80.8347265260,-200.4064799955,1226.6111719115
81.0951803797,-200.3261353474,1226.4858382463
81.3556342334,-200.2457906994,1226.3605045811
81.6160880871,-200.1654460514,1226.2351709159
81.9087246426,-200.1048244761,1226.2089245636
82.2013611981,-200.0442029009,1226.1826782113
82.4814800198,-199.9400146063,1226.2087213482
82.7615988415,-199.8358263116,1226.2347644852
83.0348400604,-199.7203820299,1226.2796181821
83.3080812793,-199.6049377482,1226.3244718789
83.5693246030,-199.4654388657,1226.3723465861
83.8358514757,-199.3350667064,1226.4166921184
84.1023783483,-199.2046945471,1226.4610376506
84.3689052210,-199.0743223878,1226.5053831829
84.6361302759,-198.9429377985,1226.5418367111
84.9033553309,-198.8115532093,1226.5782902393
85.1672801435,-198.6697063415,1226.5932287599
85.4312049561,-198.5278594738,1226.6081672804
85.6864693469,-198.3703940245,1226.6014797496
85.9417337377,-198.2129285752,1226.5947922188
86.1822881442,-198.0345617922,1226.5769353370
86.4228425508,-197.8561950093,1226.5590784552
86.6561337037,-197.6688621793,1226.5371319565
86.8894248565,-197.4815293493,1226.5151854578
87.1227160094,-197.2941965194,1226.4932389590
87.3576821189,-197.1098684276,1226.4647068366
87.5926482283,-196.9255403359,1226.4361747143
87.8264284462,-196.7411294609,1226.3995763690
88.0602086642,-196.5567185858,1226.3629780237
88.2939888821,-196.3723077108,1226.3263796785
88.5196378608,-196.1781088632,1226.2893750028
88.7452868395,-195.9839100157,1226.2523703272
88.9714160312,-195.7895407554,1226.2194130923
89.1975452229,-195.5951714952,1226.1864558574
89.4236744146,-195.4008022350,1226.1534986225
89.6494593659,-195.2057077095,1226.1225263462
89.8752443173,-195.0106131841,1226.0915540700
90.0988845917,-194.8135953838,1226.0573632230
90.3225248661,-194.6165775835,1226.0231723759
90.5411152644,-194.4117788864,1226.0065672117
90.7597056626,-194.2069801894,1225.9899620475
90.9782960608,-194.0021814923,1225.9733568833
91.1768038265,-193.7786974379,1225.9988430442
91.3753115922,-193.5552133835,1226.0243292051
91.5338130539,-193.3051863215,1226.0729476679
91.6923145155,-193.0551592595,1226.1215661306
91.7961656508,-192.7759408406,1226.1569499717
91.9000167861,-192.4967224216,1226.1923338127
91.9259079147,-192.1979870545,1226.2016520683
91.9517990434,-191.8992516873,1226.2109703239
91.9916697644,-191.6021529968,1226.1990248781
92.0315404855,-191.3050543062,1226.1870794324
92.0714112065,-191.0079556157,1226.1751339866
92.2404632135,-190.7601221686,1226.1750962024
92.4095152206,-190.5122887215,1226.1750584182
92.5785672276,-190.2644552744,1226.1750206339
92.7476192346,-190.0166218274,1226.1749828497
