,3d_x,3d_y,3d_z
0,29.8578125,-122.7421875,1974.4
1,30.0310175808,-122.5689824192,1974.2267949192
2,30.2042226615,-122.3957773385,1974.0535898385
3,30.3774277423,-122.2225722577,1973.8803847577
4,30.550632823,-122.049367177,1973.707179677
5,30.7238379038,-121.8761620962,1973.5339745962
6,30.8320886702,-121.7057523305,1973.3120685726
7,30.9403394366,-121.5353425647,1973.090162549
8,31.0485902029,-121.3649327989,1972.8682565254
9,31.1288469086,-121.2119942862,1972.6229634914
10,31.2091036142,-121.0590557735,1972.3776704574
11,31.2893603198,-120.9061172608,1972.1323774234
12,31.3933723051,-120.7806293039,1971.8805157955
13,31.4973842903,-120.6551413471,1971.6286541676
14,31.6317328986,-120.5419459765,1971.3854726315
15,31.7660815069,-120.4287506059,1971.1422910953
16,31.9105873894,-120.3138780606,1970.9058120301
17,32.0550932719,-120.1990055153,1970.6693329649
18,32.2079150074,-120.0730766543,1970.4439722782
19,32.3607367429,-119.9471477934,1970.2186115915
20,32.5135584784,-119.8212189324,1969.9932509047
21,32.6752576895,-119.6938269123,1969.7750202049
22,32.8369569006,-119.5664348922,1969.5567895051
23,32.9963232124,-119.4526062867,1969.3295332021
24,33.1556895241,-119.3387776811,1969.1022768992
25,33.3225486816,-119.2540788938,1968.8677899336
26,33.489407839,-119.1693801065,1968.6333029681
27,33.6562669964,-119.0846813192,1968.3988160025
28,33.8294317077,-119.0420116425,1968.1575831659
29,34.002596419,-118.9993419658,1967.9163503293
30,34.1686177537,-118.9681861379,1967.6684264885
31,34.3346390883,-118.93703031,1967.4205026478
32,34.500660423,-118.9058744821,1967.172578807
33,34.6582161399,-118.8885999981,1966.917867621
34,34.8157718568,-118.8713255142,1966.663156435
35,34.9742389631,-118.8848337251,1966.4087832751
36,35.1327060693,-118.8983419361,1966.1544101152
37,35.2950069185,-118.9255480681,1965.9035749886
38,35.4573077676,-118.9527542002,1965.652739862
39,35.6196086167,-118.9799603322,1965.4019047354
40,35.7842475461,-119.0090167526,1965.1528068683
41,35.9488864754,-119.038073173,1964.9037090012
42,36.1015983662,-119.0618673578,1964.6465846827
43,36.254310257,-119.0856615425,1964.3894603641
44,36.3906452621,-119.1102818575,1964.1233652562
45,36.5269802672,-119.1349021725,1963.8572701483
46,36.6333883313,-119.1589476767,1963.5778079189
47,36.7397963955,-119.1829931808,1963.2983456896
48,36.8462044596,-119.2070386849,1963.0188834603
49,36.9155119171,-119.223267534,1962.7274506193
50,36.9848193747,-119.2394963831,1962.4360177784
51,37.0621895181,-119.2643569057,1962.1472344421
52,37.1395596615,-119.2892174283,1961.8584511058
53,37.2384294923,-119.3420214163,1961.5801769686
54,37.3372993231,-119.3948254042,1961.3019028314
55,37.4779296246,-119.4814553904,1961.0514664847
56,37.6185599261,-119.5680853767,1960.8010301379
57,37.8101267385,-119.6934987784,1960.6071909389
58,38.0016935509,-119.8189121802,1960.41335174
59,38.1932603633,-119.944325582,1960.2195125411
60,38.4051373697,-120.089768907,1960.0647405366
61,38.6170143761,-120.235212232,1959.9099685321
62,38.8356923403,-120.3788627664,1959.7631881794
63,39.0543703044,-120.5225133008,1959.6164078267
64,39.2730482686,-120.6661638352,1959.4696274739
65,39.4656657042,-120.8000179049,1959.2825937563
66,39.6582831398,-120.9338719747,1959.0955600387
67,39.8104121676,-121.0491015725,1958.8640888771
68,39.9625411955,-121.1643311703,1958.6326177154
69,40.0847682893,-121.237137744,1958.3684970226
70,40.2069953831,-121.3099443176,1958.1043763298
71,40.3045453193,-121.3552565472,1957.8243213141
72,40.4020952555,-121.4005687769,1957.5442662985
73,40.4736023222,-121.4400848376,1957.2556052163
74,40.5451093888,-121.4796008983,1956.9669441341
75,40.6166164555,-121.5191169591,1956.678283052
76,40.6690689083,-121.5769343432,1956.3886179172
77,40.721521361,-121.6347517274,1956.0989527825
78,40.778525389,-121.7145376008,1955.8154307283
79,40.8355294169,-121.7943234742,1955.5319086741
80,40.9199762768,-121.8996251242,1955.2639902343
81,41.0044231366,-122.0049267741,1954.9960717946
82,41.1163819813,-122.0957164836,1954.7329702063
83,41.2283408259,-122.186506193,1954.469868618
84,41.3433952269,-122.2769854473,1954.2079984414
85,41.4584496279,-122.3674647016,1953.9461282649
86,41.5735040288,-122.4579439559,1953.6842580883
87,41.6613124616,-122.545732336,1953.4111594259
88,41.7491208943,-122.6335207161,1953.1380607634
89,41.8369293271,-122.7213090962,1952.8649621009
