,3d_x,3d_y,3d_z
0,66.96015625,-196.23984375,1399.0000488281
1,67.1513140889,-196.4310015889,1398.8699820714
2,67.3424719279,-196.6221594279,1398.7399153146
3,67.5336297668,-196.8133172668,1398.6098485578
4,67.7247876058,-197.0044751058,1398.479781801
5,67.9070185425,-197.2126601517,1398.3638039049
6,68.0892494791,-197.4208451975,1398.2478260087
7,68.2714804158,-197.6290302434,1398.1318481126
8,68.4191018484,-197.8558648236,1398.0024109237
9,68.566723281,-198.0826994038,1397.8729737347
10,68.7143447136,-198.309533984,1397.7435365458
11,68.8066895909,-198.5513638953,1397.5919096432
12,68.8990344683,-198.7931938066,1397.4402827405
13,68.9486008479,-199.0453741472,1397.2855305198
14,68.9981672275,-199.2975544878,1397.130778299
15,69.0077910364,-199.555960081,1396.9786798713
16,69.0174148453,-199.8143656742,1396.8265814436
17,69.0270386543,-200.0727712674,1396.6744830159
18,68.994428913,-200.3351352917,1396.5327024688
19,68.9618191717,-200.5974993159,1396.3909219217
20,68.9206979781,-200.8630046653,1396.2574454935
21,68.8795767845,-201.1285100147,1396.1239690653
22,68.8475828656,-201.3992843907,1395.9988386275
23,68.8155889467,-201.6700587667,1395.8737081897
24,68.7930277807,-201.9424261364,1395.7499866892001
25,68.7704666148,-202.2147935062,1395.6262651887
26,68.7479054488,-202.4871608759,1395.5025436881
27,68.7230469074,-202.7543046634,1395.368319064
28,68.6981883661,-203.0214484509,1395.2340944399
29,68.665828095,-203.2753062673,1395.0775408647
30,68.633467824,-203.5291640837,1394.9209872895
31,68.5962282122,-203.7660511437,1394.7407160158
32,68.5589886004,-204.0029382037,1394.560444742
33,68.5153580735,-204.2188702205,1394.3568035349
34,68.4717275466,-204.4348022373,1394.1531623278
35,68.4280970197,-204.6507342541,1393.9495211207
36,68.3788902903,-204.8414684486,1393.7232487961
37,68.329683561,-205.032202643,1393.4969764716
38,68.2961017011,-205.2103243123,1393.2579264148
39,68.2625198412,-205.3884459815,1393.0188763581
40,68.2763327786,-205.5422947609,1392.7616998509
41,68.290145716,-205.6961435402,1392.5045233437
42,68.3581974385,-205.8117056431,1392.2361684231
43,68.4262491609,-205.927267746,1391.9678135024
44,68.5278652481,-205.9933495342,1391.6933916226
45,68.6294813352,-206.0594313224,1391.4189697428
46,68.7357427893,-206.105217445,1391.142180772
47,68.8420042435,-206.1510035676,1390.8653918013
48,68.9482656976,-206.1967896902,1390.5886028305
49,69.018684595,-206.25903143,1390.3037043491
50,69.0891034925,-206.3212731697,1390.0188058677
51,69.1094568575,-206.4081586895,1389.7323854651
52,69.1298102224,-206.4950442093,1389.4459650626
53,69.1198111436,-206.6475109967,1389.187790902
54,69.1098120647,-206.799977784,1388.9296167415
55,69.0499899012,-207.0145124413,1388.7286287081
56,68.9901677377,-207.2290470986,1388.5276406746
57,68.9247369486,-207.4790006557,1388.3751873011
58,68.8593061594,-207.7289542128,1388.2227339275
59,68.7938753703,-207.9789077699,1388.0702805539
60,68.7227012496,-208.250458877,1387.9644777148
61,68.6515271289,-208.5220099841,1387.8586748756
62,68.5525498473,-208.7850744011,1387.7537910815
63,68.4535725658,-209.048138818,1387.6489072874
64,68.3693501741,-209.2874367105,1387.4887726334
65,68.2851277824,-209.526734603,1387.3286379795
66,68.2389572235,-209.7331412522,1387.1158832506
67,68.1927866646,-209.9395479014,1386.9031285217
68,68.1876598197,-210.077314727,1386.6366814965
69,68.1825329748,-210.2150815525,1386.3702344713
70,68.2768702498,-210.2488863549,1386.0874665208
71,68.3712075248,-210.2826911574,1385.8046985702
72,68.4655447998,-210.3164959598,1385.5219306196
73,68.6697857768,-210.2533350473,1385.3114637042
74,68.8740267537,-210.1901741348,1385.1009967888
75,69.0782677306,-210.1270132223,1384.8905298734
76,69.2825087075,-210.0638523099,1384.680062958
